cardname,cardq,cardid,cardrarity,cardcondition,card_edition,cardset,cardcode
"""A"" Cell Breeding Device",3,34541863,Common,M,Unlimited,Force of the Breaker,FOTB-EN043
"""A"" Cell Incubator",3,64163367,Common,M,Unlimited,Gladiator's Assault,GLAS-EN062
"""A"" Cell Recombination Device",3,91231901,Common,M,Unlimited,Invasion: Vengeance,INOV-EN063
"""A"" Cell Scatter Burst",3,73262676,Common,M,Unlimited,Strike of Neos,STON-EN041
"""Infernoble Arms - Hauteclere""",3,64867422,Common,M,Unlimited,Rise of the Duelist,ROTD-EN054
3-Hump Lacooda,3,86988864,Common,M,Unlimited,Dark Revelation Volume 2,DR2-EN183
4-Starred Ladybug of Doom,3,83994646,Common,M,Unlimited,Starter Deck: Yugi Reloaded,YSYR-EN010
7,3,67048711,Common,M,Unlimited,Dark Revelation Volume 2,DR2-EN204
7 Colored Fish,3,23771716,Common,M,Unlimited,Starter Deck: Joey,SDJ-008
7 Completed,3,86198326,Common,M,Unlimited,Speed Duel: Scars of Battle,SBSC-EN029
8-Claws Scorpion,3,14261867,Common,M,Unlimited,Pharaonic Guardian,PGD-024
A Cat of Ill Omen,3,24140059,Common,M,Unlimited,Pharaonic Guardian,PGD-070
A Deal with Dark Ruler,3,6850209,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN192
A Feather of the Phoenix,3,49140998,Common,M,Unlimited,Starter Deck: Syrus Truesdale,YSDS-EN029
A Hero Emerges,3,21597117,Common,M,Unlimited,Battle Pack 2: War of the Giants,BP02-EN179
A Hero Lives,1,8949584,Common,M,Unlimited,Legendary Duelists: Magical Hero,LED6-EN022
A Legendary Ocean,3,295517,Common,M,Unlimited,Hobby League 1,HL1-EN003
A Major Upset,3,32207100,Common,M,Unlimited,Speed Duel: Scars of Battle,SBSC-EN045
A Man with Wdjat,3,51351302,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN016
A Rival Appears!,3,5728014,Common,M,Unlimited,Cybernetic Revolution,CRV-EN054
A Wingbeat of Giant Dragon,3,28596933,Common,M,Unlimited,Structure Deck: Saga of Blue-Eyes White Dragon,SDBE-EN023
A.I. Challenge You,3,28645123,Common,M,Unlimited,Lightning Overdrive,LIOV-EN076
A.I. Love Fusion,3,59332125,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN024
A.I. Meet You,3,6552971,Common,M,Unlimited,Lightning Overdrive,LIOV-EN060
A.I. Shadow,3,77421977,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN029
A.I.'s Ritual,3,85327820,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN025
A.I.dle Reborn,3,22933016,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN023
A.I.Q,3,69381150,Common,M,Unlimited,Eternity Code,ETCO-EN073
A/D Changer,3,96146814,Common,M,Unlimited,Battle Pack 2: War of the Giants: Round 2,BPW2-EN032
Abaki,3,12694768,Common,M,Unlimited,Starter Deck: Syrus Truesdale,YSDS-EN020
Abare Ushioni,3,89718302,Common,M,Unlimited,Dark Revelation Volume 3,DR3-EN146
Abominable Chamber of the Unchained,3,80801743,Common,M,Unlimited,2020 Tin of Lost Memories Mega Pack,MP20-EN192
Absolute Crusader,3,70832512,Common,M,Unlimited,Legendary Dragon Decks,LEDD-ENA13
Absolute End,3,27744077,Common,M,Unlimited,Dark Revelation Volume 3,DR3-EN050
Absolute King Back Jack,3,60990740,Common,M,Unlimited,Structure Deck: Lair of Darkness,SR06-EN020
Absorbing Jar,3,3900605,Common,M,Unlimited,Speed Duel: Battle City Box,SBCB-EN031
Absorbing Kid from the Sky,3,49771608,Common,M,Unlimited,Dark Revelation Volume 2,DR2-EN185
Abyss Actor - Comic Relief,3,15308295,Common,M,Unlimited,Legendary Duelists: Season 2,LDS2-EN061
Abyss Actor - Extras,3,88412339,Common,M,Unlimited,Legendary Duelists: Season 2,LDS2-EN058
Abyss Actor - Leading Lady,3,24907044,Common,M,Unlimited,Legendary Duelists: White Dragon Abyss,LED3-EN051
Abyss Actor - Mellow Madonna,3,78310590,Common,M,Unlimited,Legendary Duelists: Season 2,LDS2-EN060
Abyss Actor - Superstar,3,25629622,Common,M,Unlimited,Legendary Duelists: White Dragon Abyss,LED3-EN050
Abyss Actor - Trendy Understudy,3,39024589,Common,M,Unlimited,2018 Mega-Tin Mega Pack,MP18-EN101
Abyss Actor - Twinkle Little Star,3,7279373,Common,M,Unlimited,Rise of the Duelist,ROTD-EN081
Abyss Actor - Wild Hope,3,51391183,Common,M,Unlimited,Legendary Duelists: Season 2,LDS2-EN059
Abyss Actors Back Stage,3,59057953,Common,M,Unlimited,Legendary Duelists: White Dragon Abyss,LED3-EN055
Abyss Actors' Curtain Call,3,4682617,Common,M,Unlimited,Legendary Duelists: White Dragon Abyss,LED3-EN049
Abyss Keeper,3,82184400,Common,M,Unlimited,Burst of Destiny,BODE-EN083
Abyss Playhouse - Fantastic Theater,3,77297908,Common,M,Unlimited,Legendary Duelists: Season 2,LDS2-EN063
Abyss Script - Opening Ceremony,3,23784496,Common,M,Unlimited,Legendary Duelists: White Dragon Abyss,LED3-EN053
Abyss Script - Rise of the Abyss King,3,13662809,Common,M,Unlimited,Legendary Duelists: White Dragon Abyss,LED3-EN054
Abyss Script - Romantic Terror,3,41803903,Common,M,Unlimited,Legendary Duelists: Season 2,LDS2-EN062
Abyss Soldier,3,18318842,Common,M,Unlimited,Duel Terminal 6,DT06-EN065
Abyss Stungray,3,97232518,Common,M,Unlimited,2016 Mega-Tin Mega Pack,MP16-EN036
Abyss Warrior,3,88409165,Common,M,Unlimited,Abyss Rising,ABYR-EN028
Abyss-scale of Cetus,3,19596712,Common,M,Unlimited,Cosmo Blazer,CBLZ-EN061
Abyss-scale of the Kraken,3,8719957,Common,M,Unlimited,Abyss Rising,ABYR-EN056
Abyss-scale of the Mizuchi,3,72932673,Common,M,Unlimited,Lord of the Tachyon Galaxy,LTGY-EN064
Abyss-scorn,3,79206750,Common,M,Unlimited,Cosmo Blazer,CBLZ-EN075
Abyssal Designator,3,89801755,Common,M,Unlimited,Dark Revelation Volume 3,DR3-EN040
Abyssal Kingshark,3,44223284,Common,M,Unlimited,Turbo Pack: Booster Five,TU05-EN013
Accel Synchron,3,37675907,Common,M,Unlimited,Legendary Duelists: Magical Hero,LED6-EN028
Accellight,3,34838437,Common,M,Unlimited,Legendary Duelists: White Dragon Abyss,LED3-EN044
Accumulated Fortune,3,98444741,Common,M,Unlimited,Cyberdark Impact,CDIP-EN057
Achacha Archer,3,98865920,Common,M,Unlimited,Generation Force,GENF-EN003
Achacha Chanbara,3,62476197,Common,M,Unlimited,Abyss Rising,ABYR-EN003
Acid Rain,3,21323861,Common,M,Unlimited,Duel Terminal 2,DT02-EN037
Acid Trap Hole,3,41356845,Common,M,Unlimited,Structure Deck: Marik,SDMA-EN029
Acidic Downpour,3,35956022,Common,M,Unlimited,Phantom Darkness,PTDN-EN058
Acorno,3,21051977,Common,M,Unlimited,Photon Shockwave,PHSW-EN006
Acrobat Monkey,3,47372349,Common,M,Unlimited,Starter Deck: Syrus Truesdale,YSDS-EN004
Action Magic - Double Banking,3,35498188,Common,M,Unlimited,Chaos Impact,CHIM-EN094
Action Magic - Full Turn,3,99004583,Common,M,Unlimited,Chaos Impact,CHIM-EN093
Adamancipator Crystal - Dragite,3,10286023,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN229
Adamancipator Crystal - Leonite,3,47897376,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN227
Adamancipator Crystal - Raptite,3,74891384,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN228
Adamancipator Laputite,3,46552140,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN233
Adamancipator Resonance,3,45730592,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN236
Adhesion Trap Hole,3,62325062,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN105
Adhesive Explosive,3,53828396,Common,M,Unlimited,Dark Revelation Volume 4,DR04-EN131
Advance Draw,3,51630558,Common,M,Unlimited,Ancient Prophecy,ANPR-EN047
Advance Force,3,38589847,Common,M,Unlimited,Absolute Powerforce,ABPF-EN048
Advance Zone,3,76224717,Common,M,Unlimited,OTS Tournament Pack 1,OP01-EN027
Advanced Dark,3,12644061,Common,M,Unlimited,Legendary Duelists: Season 1,LDS1-EN109
Advanced Ritual Art,3,46052429,Common,M,Unlimited,Duel Terminal 6,DT06-EN042
Aegaion the Sea Castrum,3,10678778,Common,M,Unlimited,Breakers of Shadow,BOSH-EN055
Aegis of Gaia,3,47060347,Common,M,Unlimited,Gold Series 3,GLD3-EN050
Aegis of the Ocean Dragon Lord,3,7935043,Common,M,Unlimited,Structure Deck: Realm of the Sea Emperor,SDRE-EN033
Aerial Recharge,3,70875955,Common,M,Unlimited,Lord of the Tachyon Galaxy,LTGY-EN073
Aeropixthree,3,83094004,Common,M,Unlimited,Dawn of Majesty,DAMA-EN031
"Aether, the Empowering Dragon",3,56804361,Common,M,Unlimited,Demo Deck 2016,DEM3-EN008
After the Storm,3,82263578,Common,M,Unlimited,Cosmo Blazer,CBLZ-EN066
After the Struggle,3,25345186,Common,M,Unlimited,Dark Beginning 2,DB2-EN195
Against the Wind,3,64952266,Common,M,Unlimited,Duelist Pack 11: Crow,DP11-EN018
Agave Dragon,3,2411269,Common,M,Unlimited,Soul Fusion,SOFU-EN048
Agido,3,16135253,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN242
"Ahrima, the Wicked Warden",3,86377375,Common,M,Unlimited,Egyptian God Deck: Slifer the Sky Dragon,EGS1-EN016
