cardname,cardq,cardid,cardrarity,cardcondition,card_edition,cardset,cardcode
"""A"" Cell Breeding Device",3,34541863,Common,M,Unlimited,Force of the Breaker,FOTB-EN043
"""A"" Cell Incubator",3,64163367,Common,M,Unlimited,Gladiator's Assault,GLAS-EN062
"""A"" Cell Recombination Device",3,91231901,Common,M,Unlimited,Invasion: Vengeance,INOV-EN063
"""A"" Cell Scatter Burst",3,73262676,Common,M,Unlimited,Strike of Neos,STON-EN041
"""Infernoble Arms - Hauteclere""",3,64867422,Common,M,Unlimited,Rise of the Duelist,ROTD-EN054
3-Hump Lacooda,3,86988864,Common,M,Unlimited,Dark Revelation Volume 2,DR2-EN183
3-Hump Lacooda,3,86988864,Common,M,Unlimited,Ancient Sanctuary,AST-070
4-Starred Ladybug of Doom,3,83994646,Common,M,Unlimited,Starter Deck: Yugi Reloaded,YSYR-EN010
4-Starred Ladybug of Doom,3,83994646,Common,M,Unlimited,Dark Beginning 1,DB1-EN198
4-Starred Ladybug of Doom,3,83994646,Common,M,Unlimited,Retro Pack 2,RP02-EN022
7,3,67048711,Common,M,Unlimited,Dark Revelation Volume 2,DR2-EN204
7,3,67048711,Common,M,Unlimited,Ancient Sanctuary,AST-091
7 Colored Fish,3,23771716,Common,M,Unlimited,Starter Deck: Joey,SDJ-008
7 Colored Fish,3,23771716,Common,M,Unlimited,Structure Deck: Fury from the Deep,SD4-EN002
7 Colored Fish,3,23771716,Common,M,Unlimited,Gold Series 2008,GLD1-EN001
7 Completed,3,86198326,Common,M,Unlimited,Speed Duel: Scars of Battle,SBSC-EN029
7 Completed,3,86198326,Common,M,Unlimited,Battle Pack 3: Monster League,BP03-EN135
7 Completed,3,86198326,Common,M,Unlimited,Duel Terminal 2,DT02-EN038
8-Claws Scorpion,3,14261867,Common,M,Unlimited,Pharaonic Guardian,PGD-024
8-Claws Scorpion,3,14261867,Common,M,Unlimited,Gold Series 2008,GLD1-EN007
A Cat of Ill Omen,3,24140059,Common,M,Unlimited,Pharaonic Guardian,PGD-070
A Cat of Ill Omen,3,24140059,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN018
A Cat of Ill Omen,3,24140059,Common,M,Unlimited,Speed Duel Decks: Destiny Masters,SS01-ENB11
A Deal with Dark Ruler,3,6850209,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN192
A Feather of the Phoenix,3,49140998,Common,M,Unlimited,Starter Deck: Syrus Truesdale,YSDS-EN029
A Feather of the Phoenix,3,49140998,Common,M,Unlimited,Legendary Hero Decks,LEHD-ENA26
A Feather of the Phoenix,3,49140998,Common,M,Unlimited,Champion Pack 3,CP03-EN018
A Hero Emerges,3,21597117,Common,M,Unlimited,Battle Pack 2: War of the Giants,BP02-EN179
A Hero Emerges,3,21597117,Common,M,Unlimited,Duelist Pack 1: Jaden Yuki,DP1-EN025
A Hero Emerges,3,21597117,Common,M,Unlimited,Super Starter: Space-Time Showdown,YS14-EN036
A Hero Emerges,3,21597117,Common,M,Unlimited,Duel Terminal 2,DT02-EN048
A Hero Emerges,3,21597117,Common,M,Unlimited,Dark Revelation Volume 2,DR2-EN105
A Hero Lives,1,8949584,Common,M,Unlimited,Legendary Duelists: Magical Hero,LED6-EN022
A Hero Lives,1,8949584,Common,M,Unlimited,Structure Deck: HERO Strike,SDHS-EN026
A Legendary Ocean,3,295517,Common,M,Unlimited,Hobby League 1,HL1-EN003
A Legendary Ocean,3,295517,Common,M,Unlimited,Legendary Duelists: Season 1,LDS1-EN029
A Legendary Ocean,3,295517,Common,M,Unlimited,Dark Beginning 2,DB2-EN187
A Legendary Ocean,3,295517,Common,M,Unlimited,Structure Deck: Realm of the Sea Emperor,SDRE-EN024
A Legendary Ocean,3,295517,Common,M,Unlimited,Legendary Duelists,LEDU-EN021
A Legendary Ocean,3,295517,Common,M,Unlimited,Retro Pack 2,RP02-EN062
A Legendary Ocean,3,295517,Common,M,Unlimited,Structure Deck: Fury from the Deep,SD4-EN020
A Major Upset,3,32207100,Common,M,Unlimited,Speed Duel: Scars of Battle,SBSC-EN045
A Major Upset,3,32207100,Common,M,Unlimited,Ancient Prophecy,ANPR-EN080
A Man with Wdjat,3,51351302,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN016
A Man with Wdjat,3,51351302,Common,M,Unlimited,Pharaonic Guardian,PGD-068
A Rival Appears!,3,5728014,Common,M,Unlimited,Cybernetic Revolution,CRV-EN054
A Rival Appears!,3,5728014,Common,M,Unlimited,Dark Revelation Volume 4,DR04-EN054
A Wingbeat of Giant Dragon,3,28596933,Common,M,Unlimited,Structure Deck: Saga of Blue-Eyes White Dragon,SDBE-EN023
A Wingbeat of Giant Dragon,3,28596933,Common,M,Unlimited,Structure Deck: Rise of the Dragon Lords,SDRL-EN025
A Wingbeat of Giant Dragon,3,28596933,Common,M,Unlimited,Dark Beginning 2,DB2-EN159
A Wingbeat of Giant Dragon,3,28596933,Common,M,Unlimited,Structure Deck: Rise of the True Dragons,SR02-EN027
A Wingbeat of Giant Dragon,3,28596933,Common,M,Unlimited,Structure Deck: Dragons Collide,SDDC-EN028
A.I. Challenge You,3,28645123,Common,M,Unlimited,Lightning Overdrive,LIOV-EN076
A.I. Love Fusion,3,59332125,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN024
A.I. Meet You,3,6552971,Common,M,Unlimited,Lightning Overdrive,LIOV-EN060
A.I. Shadow,3,77421977,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN029
A.I. Shadow,3,77421977,Common,M,Unlimited,Ignition Assault,IGAS-EN069
A.I.'s Ritual,3,85327820,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN025
A.I.'s Ritual,3,85327820,Common,M,Unlimited,Ignition Assault,IGAS-EN054
A.I.dle Reborn,3,22933016,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN023
A.I.Q,3,69381150,Common,M,Unlimited,Eternity Code,ETCO-EN073
A.I.Q,3,69381150,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN083
A/D Changer,3,96146814,Common,M,Unlimited,Battle Pack 2: War of the Giants: Round 2,BPW2-EN032
A/D Changer,3,96146814,Common,M,Unlimited,Duelist Revolution,DREV-EN005
A/D Changer,3,96146814,Common,M,Unlimited,Duelist Pack 10: Yusei 3,DP10-EN010
Abaki,3,12694768,Common,M,Unlimited,Starter Deck: Syrus Truesdale,YSDS-EN020
Abaki,3,12694768,Common,M,Unlimited,Cyberdark Impact,CDIP-EN013
Abare Ushioni,3,89718302,Common,M,Unlimited,Dark Revelation Volume 3,DR3-EN146
Abare Ushioni,3,89718302,Common,M,Unlimited,Flaming Eternity,FET-EN026
Abominable Chamber of the Unchained,3,80801743,Common,M,Unlimited,2020 Tin of Lost Memories Mega Pack,MP20-EN192
Abominable Chamber of the Unchained,3,80801743,Common,M,Unlimited,Chaos Impact,CHIM-EN070
Absolute Crusader,3,70832512,Common,M,Unlimited,Legendary Dragon Decks,LEDD-ENA13
Absolute End,3,27744077,Common,M,Unlimited,Dark Revelation Volume 3,DR3-EN050
Absolute End,3,27744077,Common,M,Unlimited,Soul of the Duelist,SOD-EN050
Absolute King Back Jack,3,60990740,Common,M,Unlimited,Structure Deck: Lair of Darkness,SR06-EN020
Absorbing Jar,3,3900605,Common,M,Unlimited,Speed Duel: Battle City Box,SBCB-EN031
Absorbing Kid from the Sky,3,49771608,Common,M,Unlimited,Dark Revelation Volume 2,DR2-EN185
Absorbing Kid from the Sky,3,49771608,Common,M,Unlimited,Ancient Sanctuary,AST-072
Abyss Actor - Comic Relief,3,15308295,Common,M,Unlimited,Legendary Duelists: Season 2,LDS2-EN061
Abyss Actor - Extras,3,88412339,Common,M,Unlimited,Legendary Duelists: Season 2,LDS2-EN058
Abyss Actor - Leading Lady,3,24907044,Common,M,Unlimited,Legendary Duelists: White Dragon Abyss,LED3-EN051
Abyss Actor - Mellow Madonna,3,78310590,Common,M,Unlimited,Legendary Duelists: Season 2,LDS2-EN060
Abyss Actor - Superstar,3,25629622,Common,M,Unlimited,Legendary Duelists: White Dragon Abyss,LED3-EN050
Abyss Actor - Trendy Understudy,3,39024589,Common,M,Unlimited,2018 Mega-Tin Mega Pack,MP18-EN101
Abyss Actor - Trendy Understudy,3,39024589,Common,M,Unlimited,Legendary Duelists: White Dragon Abyss,LED3-EN052
Abyss Actor - Trendy Understudy,3,39024589,Common,M,Unlimited,Code of the Duelist,COTD-EN097
Abyss Actor - Twinkle Little Star,3,7279373,Common,M,Unlimited,Rise of the Duelist,ROTD-EN081
Abyss Actor - Wild Hope,3,51391183,Common,M,Unlimited,Legendary Duelists: Season 2,LDS2-EN059
Abyss Actors Back Stage,3,59057953,Common,M,Unlimited,Legendary Duelists: White Dragon Abyss,LED3-EN055
Abyss Actors' Curtain Call,3,4682617,Common,M,Unlimited,Legendary Duelists: White Dragon Abyss,LED3-EN049
Abyss Actors' Curtain Call,3,4682617,Common,M,Unlimited,Legendary Duelists: Season 2,LDS2-EN064
Abyss Keeper,3,82184400,Common,M,Unlimited,Burst of Destiny,BODE-EN083
Abyss Playhouse - Fantastic Theater,3,77297908,Common,M,Unlimited,Legendary Duelists: Season 2,LDS2-EN063
Abyss Script - Opening Ceremony,3,23784496,Common,M,Unlimited,Legendary Duelists: White Dragon Abyss,LED3-EN053
Abyss Script - Rise of the Abyss King,3,13662809,Common,M,Unlimited,Legendary Duelists: White Dragon Abyss,LED3-EN054
Abyss Script - Romantic Terror,3,41803903,Common,M,Unlimited,Legendary Duelists: Season 2,LDS2-EN062
Abyss Soldier,3,18318842,Common,M,Unlimited,Duel Terminal 6,DT06-EN065
